,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
1659,36081002800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,770,-0.025000736,0.006279003,-0.15968683,-0.020678945,Low,Low,Very Low,Low,40,37,19,23,Low,Very Low,Low,Low,37,14,30,29,Low,Very Low,Low,Low,34,14,29,29
1660,36081003000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,463,-0.025710465,0.027224885,-0.20967752,-0.024346171,Low,Moderate,Very Low,Very Low,39,57,14,20,Low,Low,Low,Low,36,35,24,26,Low,Low,Low,Low,34,34,23,26
1661,36081003100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,128,0.021865472,-0.006205784,0.10708288,0.01421848,High,Low,High,High,66,28,67,62,High,Very Low,High,High,61,9,71,64,Moderate,Very Low,High,Moderate,52,8,68,58
1662,36081003200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,362,-0.024929743,0.016355682,-0.12835827,-0.015953107,Low,Moderate,Low,Low,40,46,23,28,Low,Low,Low,Low,37,21,34,33,Low,Low,Low,Low,34,21,33,33
1663,36081003300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,308,0.002100055,0.003066025,-0.061828852,-0.00663674,Moderate,Low,Low,Low,56,35,33,38,Moderate,Very Low,Moderate,Moderate,51,12,43,42,Moderate,Very Low,Moderate,Moderate,43,12,42,41
1664,36081003400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,707,-0.044874307,0.019402277,-0.17279468,-0.023005074,Low,Moderate,Very Low,Low,28,49,18,22,Low,Low,Low,Low,28,24,28,28,Low,Low,Low,Low,27,24,27,27
1665,36081003600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,865,-0.008493292,0.019818477,-0.12841386,-0.013773975,Moderate,Moderate,Low,Low,50,50,23,30,Moderate,Low,Low,Low,45,25,34,35,Low,Low,Low,Low,40,25,33,35
1666,36081003800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,694,-0.012289103,0.02939838,-0.21378008,-0.023108516,Moderate,Moderate,Very Low,Low,48,60,14,21,Moderate,Low,Low,Low,43,38,24,27,Low,Low,Low,Low,38,37,23,27
1667,36081003900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,342,0.006897297,0.003238255,-0.22272006,-0.024811307,Moderate,Low,Very Low,Very Low,58,35,13,20,Moderate,Very Low,Low,Low,53,12,23,26,Moderate,Very Low,Low,Low,46,12,22,25
1668,36081004001,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,567,-0.022595251,0.019799018,-0.19878367,-0.02352418,Moderate,Moderate,Very Low,Low,41,50,15,21,Low,Low,Low,Low,38,25,26,27,Low,Low,Low,Low,35,25,24,26
